,name,applied,year,household_income,number_adults,number_children,additional_expenses,employment,divorce,medical,education,immigration,housing,total_circumstances,single,family,family_base_income,circumstance_cost_text,circumstance_cost,single_cost_text,single_cost,extra_cost,family_need_income,disposable_income,disposable_unit_text,disposable_unit,family_disposable_unit,percent_eligible,combination
11,l,yes,2022,35000,1,2,none,0,0,0,0,0,0,0,1,0,118362.33,mid,2000.0,whole,15409.333333333341,15409.33,133771.67,-98771.67,hi,7000.0,17500.0,90,12
12,m,yes,2022,40000,1,1,"I was unemployed for the first half of the year, we care for a family member out of state",1,0,0,0,0,0,1,1,0,84412.67,mid,2000.0,whole,7704.666666666671,9704.67,94117.33,-54117.33,hi,7000.0,10500.0,90,12
13,n,yes,2022,40000,1,1,"single parent, no child support",0,0,0,0,0,1,1,1,0,84412.67,mid,2000.0,whole,7704.666666666671,9704.67,94117.33,-54117.33,hi,7000.0,10500.0,90,12
14,o,yes,2022,40000,2,1,none,0,0,0,0,0,0,0,0,0,92084.0,mid,2000.0,whole,0.0,0.0,92084.0,-52084.0,hi,7000.0,14000.0,90,12
15,p,yes,2022,41000,2,2,none,0,0,0,0,0,0,0,0,0,126033.67,mid,2000.0,whole,0.0,0.0,126033.67,-85033.67,hi,7000.0,21000.0,90,12
16,r,yes,2022,45000,1,1,none,0,0,0,0,0,0,0,1,0,84412.67,mid,2000.0,whole,7704.666666666671,7704.67,92117.33,-47117.33,hi,7000.0,10500.0,90,12
17,u,yes,2022,45000,1,1,sole provider for elderly mother as well as my child,0,0,0,0,0,0,0,1,2,84412.67,mid,2000.0,whole,7704.666666666671,7704.67,92117.33,-47117.33,hi,7000.0,10500.0,90,12
18,v,yes,2022,45000,1,2,we are paying for both the kids sports this summer,0,0,0,0,0,0,0,1,0,118362.33,mid,2000.0,whole,15409.333333333341,15409.33,133771.67,-88771.67,hi,7000.0,17500.0,90,12
19,q,yes,2022,45000,2,3,we recently moved while our home is being repaired,0,0,0,0,0,1,1,0,0,159983.33,mid,2000.0,whole,0.0,2000.0,161983.33,-116983.33,hi,7000.0,28000.0,90,12
20,s,yes,2022,45000,2,3,none,0,0,0,0,0,0,0,0,0,159983.33,mid,2000.0,whole,0.0,0.0,159983.33,-114983.33,hi,7000.0,28000.0,90,12
21,x,yes,2022,45000,2,3,none,0,0,0,0,0,0,0,0,0,159983.33,mid,2000.0,whole,0.0,0.0,159983.33,-114983.33,hi,7000.0,28000.0,90,12
22,t,yes,2022,45000,4,2,none,0,0,0,0,0,0,0,0,0,141376.33,mid,2000.0,whole,0.0,0.0,141376.33,-96376.33,hi,7000.0,28000.0,90,12
23,y,yes,2022,50000,1,1,none,0,0,0,0,0,0,0,1,0,84412.67,mid,2000.0,whole,7704.666666666671,7704.67,92117.33,-42117.33,hi,7000.0,10500.0,90,12
24,bb,yes,2022,50000,1,2,"recently divorced, not sure what child support will look like",0,0,0,0,0,0,0,1,0,118362.33,mid,2000.0,whole,15409.333333333341,15409.33,133771.67,-83771.67,hi,7000.0,17500.0,90,12
25,z,yes,2022,50000,2,2,none,0,0,0,0,0,0,0,0,0,126033.67,mid,2000.0,whole,0.0,0.0,126033.67,-76033.67,hi,7000.0,21000.0,90,12
26,aa,yes,2022,50000,3,4,none,0,0,0,0,0,0,0,0,0,201604.33,mid,2000.0,whole,0.0,0.0,201604.33,-151604.33,hi,7000.0,38500.0,90,12
27,cc,yes,2022,55000,1,1,lost my job of 18 years,1,0,0,0,0,0,1,1,0,84412.67,mid,2000.0,whole,7704.666666666671,9704.67,94117.33,-39117.33,hi,7000.0,10500.0,90,12
28,dd,yes,2022,55000,2,1,we pay to travel to another country each year to support family,0,0,0,0,1,0,1,0,0,92084.0,mid,2000.0,whole,0.0,2000.0,94084.0,-39084.0,hi,7000.0,14000.0,90,12
29,e,yes,2022,55000,2,2,"tuition, medical expenses, unemployment",1,0,1,1,0,0,3,0,0,126033.67,mid,2000.0,whole,0.0,6000.0,132033.67,-77033.67,hi,7000.0,21000.0,90,12
30,ii,yes,2022,60000,1,1,none,0,0,0,0,0,0,0,1,0,84412.67,mid,2000.0,whole,7704.666666666671,7704.67,92117.33,-32117.33,hi,7000.0,10500.0,90,12
31,f,yes,2022,60000,2,2,mom is in doctoral program,0,0,0,1,0,0,1,0,0,126033.67,mid,2000.0,whole,0.0,2000.0,128033.67,-68033.67,hi,7000.0,21000.0,90,12
32,g,yes,2022,60000,3,3,one income household,0,0,0,0,0,0,0,0,0,167654.67,mid,2000.0,whole,0.0,0.0,167654.67,-107654.67,hi,7000.0,31500.0,90,12
33,h,yes,2022,60000,4,2,still paying student loans,0,0,0,1,0,0,1,0,0,141376.33,mid,2000.0,whole,0.0,2000.0,143376.33,-83376.33,hi,7000.0,28000.0,90,12
34,ll,yes,2022,65000,1,1,none,0,0,0,0,0,0,0,1,0,84412.67,mid,2000.0,whole,7704.666666666671,7704.67,92117.33,-27117.33,hi,7000.0,10500.0,90,12
35,mm,yes,2022,65000,1,1,none,0,0,0,0,0,0,0,1,0,84412.67,mid,2000.0,whole,7704.666666666671,7704.67,92117.33,-27117.33,hi,7000.0,10500.0,90,12
36,j,yes,2022,65000,1,2,none,0,0,0,0,0,0,0,1,0,118362.33,mid,2000.0,whole,15409.333333333341,15409.33,133771.67,-68771.67,hi,7000.0,17500.0,90,12
37,k,yes,2022,65000,2,2,none,0,0,0,0,0,0,0,0,0,126033.67,mid,2000.0,whole,0.0,0.0,126033.67,-61033.67,hi,7000.0,21000.0,90,12
38,nn,yes,2022,70000,1,1,I am paying some big hospital bills,0,0,0,0,0,1,1,1,0,84412.67,mid,2000.0,whole,7704.666666666671,9704.67,94117.33,-24117.33,hi,7000.0,10500.0,90,12
39,mm,yes,2022,70000,1,1,we are supporting some fmaily members who are overseas,0,0,0,0,1,0,1,1,0,84412.67,mid,2000.0,whole,7704.666666666671,9704.67,94117.33,-24117.33,hi,7000.0,10500.0,90,12
40,pp,yes,2022,70000,1,1,my parents lost housing and moved in with us,0,0,0,0,0,1,1,1,0,84412.67,mid,2000.0,whole,7704.666666666671,9704.67,94117.33,-24117.33,hi,7000.0,10500.0,90,12
41,ss,yes,2022,70000,1,1,none,0,0,0,0,0,0,0,1,0,84412.67,mid,2000.0,whole,7704.666666666671,7704.67,92117.33,-22117.33,hi,7000.0,10500.0,90,12
42,rr,yes,2022,70000,1,2,none,0,0,0,0,0,0,0,1,0,118362.33,mid,2000.0,whole,15409.333333333341,15409.33,133771.67,-63771.67,hi,7000.0,17500.0,90,12
43,oo,yes,2022,70000,2,1,we pay to travel to another country each year to support family,0,0,0,0,1,0,1,0,0,92084.0,mid,2000.0,whole,0.0,2000.0,94084.0,-24084.0,hi,7000.0,14000.0,90,12
44,qq,yes,2022,70000,3,1,currently getting divorced,0,0,0,0,0,1,1,0,0,99755.33,mid,2000.0,whole,0.0,2000.0,101755.33,-31755.33,hi,7000.0,17500.0,90,12
45,t,yes,2022,75000,1,1,we are supporting some fmaily members who are overseas,0,0,0,0,1,0,1,1,0,84412.67,mid,2000.0,whole,7704.666666666671,9704.67,94117.33,-19117.33,hi,7000.0,10500.0,90,12
46,uu,yes,2022,75000,1,2,none,0,0,0,0,0,0,0,1,0,118362.33,mid,2000.0,whole,15409.333333333341,15409.33,133771.67,-58771.67,hi,7000.0,17500.0,90,12
47,vv,yes,2022,75000,3,1,my parents lost housing and moved in with us,0,0,0,0,0,1,1,0,0,99755.33,mid,2000.0,whole,0.0,2000.0,101755.33,-26755.33,hi,7000.0,17500.0,90,12
48,xx,yes,2022,80000,1,1,none,0,0,0,0,0,0,0,1,0,84412.67,mid,2000.0,whole,7704.666666666671,7704.67,92117.33,-12117.33,hi,7000.0,10500.0,90,12
49,aaa,yes,2022,80000,1,2,none,0,0,0,0,0,0,0,1,0,118362.33,mid,2000.0,whole,15409.333333333341,15409.33,133771.67,-53771.67,hi,7000.0,17500.0,90,12
50,bbb,yes,2022,80000,1,2,one child has special needs,0,0,0,0,0,0,0,1,0,118362.33,mid,2000.0,whole,15409.333333333341,15409.33,133771.67,-53771.67,hi,7000.0,17500.0,90,12
51,yy,yes,2022,80000,2,1,none,0,0,0,0,0,0,0,0,0,92084.0,mid,2000.0,whole,0.0,0.0,92084.0,-12084.0,hi,7000.0,14000.0,90,12
52,ccc,yes,2022,80000,2,3,none,0,0,0,0,0,0,0,0,0,159983.33,mid,2000.0,whole,0.0,0.0,159983.33,-79983.33,hi,7000.0,28000.0,90,12
53,zz,yes,2022,80000,3,1,currently getting divorced,0,0,0,0,0,1,1,0,0,99755.33,mid,2000.0,whole,0.0,2000.0,101755.33,-21755.33,hi,7000.0,17500.0,90,12
54,ggg,yes,2022,85000,1,1,none,0,0,0,0,0,0,0,1,0,84412.67,mid,2000.0,whole,7704.666666666671,7704.67,92117.33,-7117.33,hi,7000.0,10500.0,90,12
55,hhh,yes,2022,85000,2,1,housing,0,0,0,0,0,1,1,0,0,92084.0,mid,2000.0,whole,0.0,2000.0,94084.0,-9084.0,hi,7000.0,14000.0,90,12
56,ddd,yes,2022,85000,2,2,going through a separation,0,0,0,0,0,0,0,0,0,126033.67,mid,2000.0,whole,0.0,0.0,126033.67,-41033.67,hi,7000.0,21000.0,90,12
57,fff,yes,2022,85000,2,3,we have one child in college and a sick grandmother,0,0,1,1,0,0,2,0,0,159983.33,mid,2000.0,whole,0.0,4000.0,163983.33,-78983.33,hi,7000.0,28000.0,90,12
58,eee,yes,2022,85000,5,2,caring for grandparents,0,0,0,0,0,1,1,0,1,149047.67,mid,2000.0,whole,0.0,2000.0,151047.67,-66047.67,hi,7000.0,31500.0,90,12
59,iii,yes,2022,90000,1,1,"education, immigration",0,0,0,1,1,0,2,1,0,84412.67,mid,2000.0,whole,7704.666666666671,11704.67,96117.33,-6117.33,hi,7000.0,10500.0,90,12
60,jjj,yes,2022,90000,1,1,none,0,0,0,0,0,0,0,1,0,84412.67,mid,2000.0,whole,7704.666666666671,7704.67,92117.33,-2117.33,hi,7000.0,10500.0,90,12
61,nnn,yes,2022,90000,1,3,none,0,0,0,0,0,0,0,1,0,152312.0,mid,2000.0,whole,23114.00000000001,23114.0,175426.0,-85426.0,hi,7000.0,24500.0,90,12
62,kkk,yes,2022,90000,2,1,none,0,0,0,0,0,0,0,0,0,92084.0,mid,2000.0,whole,0.0,0.0,92084.0,-2084.0,hi,7000.0,14000.0,90,12
63,lll,yes,2022,90000,2,2,none,0,0,0,0,0,0,0,0,0,126033.67,mid,2000.0,whole,0.0,0.0,126033.67,-36033.67,hi,7000.0,21000.0,90,12
64,mmm,yes,2022,90000,2,3,mom is in college and one child is in a special ed private school,0,0,0,1,0,0,1,0,0,159983.33,mid,2000.0,whole,0.0,2000.0,161983.33,-71983.33,hi,7000.0,28000.0,90,12
65,ooo,yes,2022,90000,3,1,none,0,0,0,0,0,0,0,0,0,99755.33,mid,2000.0,whole,0.0,0.0,99755.33,-9755.33,hi,7000.0,17500.0,90,12
66,ppp,yes,2022,90000,4,2,none,0,0,0,0,0,0,0,0,0,141376.33,mid,2000.0,whole,0.0,0.0,141376.33,-51376.33,hi,7000.0,28000.0,90,12
67,qqq,yes,2022,100000,1,1,none,0,0,0,0,0,0,0,1,0,84412.67,mid,2000.0,whole,7704.666666666671,7704.67,92117.33,7882.67,hi,7000.0,10500.0,80,12
68,rrr,yes,2022,100000,3,3,my mom lives with us and goes to the hospital a lot,0,0,0,0,0,0,0,0,0,167654.67,mid,2000.0,whole,0.0,0.0,167654.67,-67654.67,hi,7000.0,31500.0,90,12
69,sss,yes,2022,110000,1,1,none,0,0,0,0,0,0,0,1,0,84412.67,mid,2000.0,whole,7704.666666666671,7704.67,92117.33,17882.67,hi,7000.0,10500.0,50,12
70,ttt,yes,2022,110000,1,1,"education, medical, housing",0,0,1,1,0,1,3,1,0,84412.67,mid,2000.0,whole,7704.666666666671,13704.67,98117.33,11882.67,hi,7000.0,10500.0,70,12
71,vvv,yes,2022,110000,1,1,none,0,0,0,0,0,0,0,1,0,84412.67,mid,2000.0,whole,7704.666666666671,7704.67,92117.33,17882.67,hi,7000.0,10500.0,50,12
72,www,yes,2022,110000,2,1,none,0,0,0,0,0,0,0,0,0,92084.0,mid,2000.0,whole,0.0,0.0,92084.0,17916.0,hi,7000.0,14000.0,70,12
73,uuu,yes,2022,110000,2,2,none,0,0,0,0,0,0,0,0,0,126033.67,mid,2000.0,whole,0.0,0.0,126033.67,-16033.67,hi,7000.0,21000.0,90,12
74,xxx,yes,2022,110000,3,2,none,0,0,0,0,0,0,0,0,0,133705.0,mid,2000.0,whole,0.0,0.0,133705.0,-23705.0,hi,7000.0,24500.0,90,12
75,yyy,yes,2022,120000,1,2,none,0,0,0,0,0,0,0,1,0,118362.33,mid,2000.0,whole,15409.333333333341,15409.33,133771.67,-13771.67,hi,7000.0,17500.0,90,12
76,zzz,yes,2022,120000,2,4,none,0,0,0,0,0,0,0,0,0,193933.0,mid,2000.0,whole,0.0,0.0,193933.0,-73933.0,hi,7000.0,35000.0,90,12
77,aaaa,yes,2022,120000,2,4,currently separating from my partner,0,0,0,0,0,1,1,0,0,193933.0,mid,2000.0,whole,0.0,2000.0,195933.0,-75933.0,hi,7000.0,35000.0,90,12
78,bbbb,yes,2022,130000,1,1,none,0,0,0,0,0,0,0,1,0,84412.67,mid,2000.0,whole,7704.666666666671,7704.67,92117.33,37882.67,hi,7000.0,10500.0,0,12
79,cccc,yes,2022,130000,2,2,"education, housing",0,0,0,1,0,1,2,0,0,126033.67,mid,2000.0,whole,0.0,4000.0,130033.67,-33.67,hi,7000.0,21000.0,90,12
80,dddd,yes,2022,140000,1,1,none,0,0,0,0,0,0,0,1,0,84412.67,mid,2000.0,whole,7704.666666666671,7704.67,92117.33,47882.67,hi,7000.0,10500.0,0,12
81,eeee,yes,2022,140000,1,2,none,0,0,0,0,0,0,0,1,0,118362.33,mid,2000.0,whole,15409.333333333341,15409.33,133771.67,6228.33,hi,7000.0,17500.0,80,12
82,ffff,yes,2022,140000,2,3,medical,0,0,1,0,0,0,1,0,0,159983.33,mid,2000.0,whole,0.0,2000.0,161983.33,-21983.33,hi,7000.0,28000.0,90,12
83,gggg,yes,2022,150000,1,1,none,0,0,0,0,0,0,0,1,0,84412.67,mid,2000.0,whole,7704.666666666671,7704.67,92117.33,57882.67,hi,7000.0,10500.0,0,12
84,hhhh,yes,2022,150000,2,1,none,0,0,0,0,0,0,0,0,0,92084.0,mid,2000.0,whole,0.0,0.0,92084.0,57916.0,hi,7000.0,14000.0,0,12
85,iiii,yes,2022,150000,2,3,none,0,0,0,0,0,0,0,0,0,159983.33,mid,2000.0,whole,0.0,0.0,159983.33,-9983.33,hi,7000.0,28000.0,90,12
86,kkkk,yes,2022,160000,1,2,none,0,0,0,0,0,0,0,1,0,118362.33,mid,2000.0,whole,15409.333333333341,15409.33,133771.67,26228.33,hi,7000.0,17500.0,70,12
87,llll,yes,2022,160000,2,3,none,0,0,0,0,0,0,0,0,0,159983.33,mid,2000.0,whole,0.0,0.0,159983.33,16.67,hi,7000.0,28000.0,80,12
88,mmmm,yes,2022,160000,2,4,none,0,0,0,0,0,0,0,0,0,193933.0,mid,2000.0,whole,0.0,0.0,193933.0,-33933.0,hi,7000.0,35000.0,90,12
89,jjjj,yes,2022,160000,3,1,"immigration, housing, divorce",0,0,0,0,1,1,2,0,0,99755.33,mid,2000.0,whole,0.0,4000.0,103755.33,56244.67,hi,7000.0,17500.0,0,12
90,nnnn,yes,2022,170000,1,1,none,0,0,0,0,0,0,0,1,0,84412.67,mid,2000.0,whole,7704.666666666671,7704.67,92117.33,77882.67,hi,7000.0,10500.0,0,12
91,pppp,yes,2022,170000,2,2,none,0,0,0,0,0,0,0,0,0,126033.67,mid,2000.0,whole,0.0,0.0,126033.67,43966.33,hi,7000.0,21000.0,0,12
92,qqqq,yes,2022,170000,2,3,education,0,0,0,1,0,0,1,0,0,159983.33,mid,2000.0,whole,0.0,2000.0,161983.33,8016.67,hi,7000.0,28000.0,80,12
93,oooo,yes,2022,170000,3,5,none,0,0,0,0,0,0,0,0,0,235554.0,mid,2000.0,whole,0.0,0.0,235554.0,-65554.0,hi,7000.0,45500.0,90,12
94,tttt,yes,2022,180000,1,1,none,0,0,0,0,0,0,0,1,0,84412.67,mid,2000.0,whole,7704.666666666671,7704.67,92117.33,87882.67,hi,7000.0,10500.0,0,12
95,ssss,yes,2022,180000,2,2,none,0,0,0,0,0,0,0,0,0,126033.67,mid,2000.0,whole,0.0,0.0,126033.67,53966.33,hi,7000.0,21000.0,0,12
96,rrrr,yes,2022,180000,3,4,none,0,0,0,0,0,0,0,0,0,201604.33,mid,2000.0,whole,0.0,0.0,201604.33,-21604.33,hi,7000.0,38500.0,90,12
97,uuuu,yes,2022,190000,2,2,none,0,0,0,0,0,0,0,0,0,126033.67,mid,2000.0,whole,0.0,0.0,126033.67,63966.33,hi,7000.0,21000.0,0,12
98,vvvv,yes,2022,190000,2,4,"education, medical, housing",0,0,1,1,0,1,3,0,0,193933.0,mid,2000.0,whole,0.0,6000.0,199933.0,-9933.0,hi,7000.0,35000.0,90,12
99,wwww,yes,2022,200000,2,1,none,0,0,0,0,0,0,0,0,0,92084.0,mid,2000.0,whole,0.0,0.0,92084.0,107916.0,hi,7000.0,14000.0,0,12
100,xxxx,yes,2022,200000,3,2,none,0,0,0,0,0,0,0,0,0,133705.0,mid,2000.0,whole,0.0,0.0,133705.0,66295.0,hi,7000.0,24500.0,0,12
101,yyyy,yes,2022,220000,2,4,we have two children in college,0,0,0,1,0,0,1,0,0,193933.0,mid,2000.0,whole,0.0,2000.0,195933.0,24067.0,hi,7000.0,35000.0,80,12
102,zzzz,yes,2022,220000,4,3,none,0,0,0,0,0,0,0,0,0,175326.0,mid,2000.0,whole,0.0,0.0,175326.0,44674.0,hi,7000.0,35000.0,70,12
103,a,yes,2022,0,1,1,none,0,0,0,0,0,0,0,1,0,84412.67,mid,2000.0,whole,7704.666666666671,7704.67,92117.33,-92117.33,mid,6500.0,9750.0,90,11
104,b,yes,2022,0,1,1,none,0,0,0,0,0,0,0,1,0,84412.67,mid,2000.0,whole,7704.666666666671,7704.67,92117.33,-92117.33,mid,6500.0,9750.0,90,11
105,d,yes,2022,0,2,2,none,0,0,0,0,0,0,0,0,0,126033.67,mid,2000.0,whole,0.0,0.0,126033.67,-126033.67,mid,6500.0,19500.0,90,11
106,c,yes,2022,0,3,2,none,0,0,0,0,0,0,0,0,0,133705.0,mid,2000.0,whole,0.0,0.0,133705.0,-133705.0,mid,6500.0,22750.0,90,11
107,e,yes,2022,10000,1,2,none,0,0,0,0,0,0,0,1,0,118362.33,mid,2000.0,whole,15409.333333333341,15409.33,133771.67,-123771.67,mid,6500.0,16250.0,90,11
108,f,yes,2022,15500,1,1,I have an injury that is keeping me from work,0,0,1,0,0,0,1,1,0,84412.67,mid,2000.0,whole,7704.666666666671,9704.67,94117.33,-78617.33,mid,6500.0,9750.0,90,11
109,g,yes,2022,26800,1,1,our housing costs have gone up substantially,0,0,0,0,0,1,1,1,0,84412.67,mid,2000.0,whole,7704.666666666671,9704.67,94117.33,-67317.33,mid,6500.0,9750.0,90,11
110,h,yes,2022,27000,12,3,none,0,0,0,0,0,0,0,0,0,236696.67,mid,2000.0,whole,0.0,0.0,236696.67,-209696.67,mid,6500.0,58500.0,90,11
111,i,yes,2022,30000,2,2,none,0,0,0,0,0,0,0,0,0,126033.67,mid,2000.0,whole,0.0,0.0,126033.67,-96033.67,mid,6500.0,19500.0,90,11
112,j,yes,2022,30000,3,1,none,0,0,0,0,0,0,0,0,0,99755.33,mid,2000.0,whole,0.0,0.0,99755.33,-69755.33,mid,6500.0,16250.0,90,11
113,k,yes,2022,35000,1,1,none,0,0,0,0,0,0,0,1,0,84412.67,mid,2000.0,whole,7704.666666666671,7704.67,92117.33,-57117.33,mid,6500.0,9750.0,90,11
114,l,yes,2022,35000,1,2,none,0,0,0,0,0,0,0,1,0,118362.33,mid,2000.0,whole,15409.333333333341,15409.33,133771.67,-98771.67,mid,6500.0,16250.0,90,11
115,m,yes,2022,40000,1,1,"I was unemployed for the first half of the year, we care for a family member out of state",1,0,0,0,0,0,1,1,0,84412.67,mid,2000.0,whole,7704.666666666671,9704.67,94117.33,-54117.33,mid,6500.0,9750.0,90,11
116,n,yes,2022,40000,1,1,"single parent, no child support",0,0,0,0,0,1,1,1,0,84412.67,mid,2000.0,whole,7704.666666666671,9704.67,94117.33,-54117.33,mid,6500.0,9750.0,90,11
117,o,yes,2022,40000,2,1,none,0,0,0,0,0,0,0,0,0,92084.0,mid,2000.0,whole,0.0,0.0,92084.0,-52084.0,mid,6500.0,13000.0,90,11
118,p,yes,2022,41000,2,2,none,0,0,0,0,0,0,0,0,0,126033.67,mid,2000.0,whole,0.0,0.0,126033.67,-85033.67,mid,6500.0,19500.0,90,11
119,r,yes,2022,45000,1,1,none,0,0,0,0,0,0,0,1,0,84412.67,mid,2000.0,whole,7704.666666666671,7704.67,92117.33,-47117.33,mid,6500.0,9750.0,90,11
120,u,yes,2022,45000,1,1,sole provider for elderly mother as well as my child,0,0,0,0,0,0,0,1,2,84412.67,mid,2000.0,whole,7704.666666666671,7704.67,92117.33,-47117.33,mid,6500.0,9750.0,90,11
121,v,yes,2022,45000,1,2,we are paying for both the kids sports this summer,0,0,0,0,0,0,0,1,0,118362.33,mid,2000.0,whole,15409.333333333341,15409.33,133771.67,-88771.67,mid,6500.0,16250.0,90,11
122,q,yes,2022,45000,2,3,we recently moved while our home is being repaired,0,0,0,0,0,1,1,0,0,159983.33,mid,2000.0,whole,0.0,2000.0,161983.33,-116983.33,mid,6500.0,26000.0,90,11
123,s,yes,2022,45000,2,3,none,0,0,0,0,0,0,0,0,0,159983.33,mid,2000.0,whole,0.0,0.0,159983.33,-114983.33,mid,6500.0,26000.0,90,11
124,x,yes,2022,45000,2,3,none,0,0,0,0,0,0,0,0,0,159983.33,mid,2000.0,whole,0.0,0.0,159983.33,-114983.33,mid,6500.0,26000.0,90,11
125,t,yes,2022,45000,4,2,none,0,0,0,0,0,0,0,0,0,141376.33,mid,2000.0,whole,0.0,0.0,141376.33,-96376.33,mid,6500.0,26000.0,90,11
126,y,yes,2022,50000,1,1,none,0,0,0,0,0,0,0,1,0,84412.67,mid,2000.0,whole,7704.666666666671,7704.67,92117.33,-42117.33,mid,6500.0,9750.0,90,11
127,bb,yes,2022,50000,1,2,"recently divorced, not sure what child support will look like",0,0,0,0,0,0,0,1,0,118362.33,mid,2000.0,whole,15409.333333333341,15409.33,133771.67,-83771.67,mid,6500.0,16250.0,90,11
128,z,yes,2022,50000,2,2,none,0,0,0,0,0,0,0,0,0,126033.67,mid,2000.0,whole,0.0,0.0,126033.67,-76033.67,mid,6500.0,19500.0,90,11
129,aa,yes,2022,50000,3,4,none,0,0,0,0,0,0,0,0,0,201604.33,mid,2000.0,whole,0.0,0.0,201604.33,-151604.33,mid,6500.0,35750.0,90,11
130,cc,yes,2022,55000,1,1,lost my job of 18 years,1,0,0,0,0,0,1,1,0,84412.67,mid,2000.0,whole,7704.666666666671,9704.67,94117.33,-39117.33,mid,6500.0,9750.0,90,11
131,dd,yes,2022,55000,2,1,we pay to travel to another country each year to support family,0,0,0,0,1,0,1,0,0,92084.0,mid,2000.0,whole,0.0,2000.0,94084.0,-39084.0,mid,6500.0,13000.0,90,11
132,e,yes,2022,55000,2,2,"tuition, medical expenses, unemployment",1,0,1,1,0,0,3,0,0,126033.67,mid,2000.0,whole,0.0,6000.0,132033.67,-77033.67,mid,6500.0,19500.0,90,11
133,ii,yes,2022,60000,1,1,none,0,0,0,0,0,0,0,1,0,84412.67,mid,2000.0,whole,7704.666666666671,7704.67,92117.33,-32117.33,mid,6500.0,9750.0,90,11
134,f,yes,2022,60000,2,2,mom is in doctoral program,0,0,0,1,0,0,1,0,0,126033.67,mid,2000.0,whole,0.0,2000.0,128033.67,-68033.67,mid,6500.0,19500.0,90,11
135,g,yes,2022,60000,3,3,one income household,0,0,0,0,0,0,0,0,0,167654.67,mid,2000.0,whole,0.0,0.0,167654.67,-107654.67,mid,6500.0,29250.0,90,11
136,h,yes,2022,60000,4,2,still paying student loans,0,0,0,1,0,0,1,0,0,141376.33,mid,2000.0,whole,0.0,2000.0,143376.33,-83376.33,mid,6500.0,26000.0,90,11
137,ll,yes,2022,65000,1,1,none,0,0,0,0,0,0,0,1,0,84412.67,mid,2000.0,whole,7704.666666666671,7704.67,92117.33,-27117.33,mid,6500.0,9750.0,90,11
138,mm,yes,2022,65000,1,1,none,0,0,0,0,0,0,0,1,0,84412.67,mid,2000.0,whole,7704.666666666671,7704.67,92117.33,-27117.33,mid,6500.0,9750.0,90,11
139,j,yes,2022,65000,1,2,none,0,0,0,0,0,0,0,1,0,118362.33,mid,2000.0,whole,15409.333333333341,15409.33,133771.67,-68771.67,mid,6500.0,16250.0,90,11
140,k,yes,2022,65000,2,2,none,0,0,0,0,0,0,0,0,0,126033.67,mid,2000.0,whole,0.0,0.0,126033.67,-61033.67,mid,6500.0,19500.0,90,11
141,nn,yes,2022,70000,1,1,I am paying some big hospital bills,0,0,0,0,0,1,1,1,0,84412.67,mid,2000.0,whole,7704.666666666671,9704.67,94117.33,-24117.33,mid,6500.0,9750.0,90,11
